id,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,market_cap,phone_number,address,description,sic_code,sic_description,ticker_root,homepage_url,total_employees,list_date,branding,share_class_shares_outstanding,weighted_shares_outstanding,round_lot,updated,ticker_suffix,is_test
1,SWI,SolarWinds Corporation Common Stock,stocks,us,XNYS,CS,1,usd,1739942.0,BBG00M1CKSK7,BBG00M1CKT98,,(512) 682-9300,"{'address1': '7171 SOUTHWEST PKWY., BLDG. 400', 'city': 'AUSTIN', 'state': 'TX', 'postal_code': '78735'}",,7372.0,SERVICES-PREPACKAGED SOFTWARE,SWI,,,,,168190000.0,,100.0,,,
2,SVM,Silvercorp Metals Inc. Common Shares,stocks,us,XASE,CS,1,usd,1340677.0,BBG000CY5S22,BBG001S6YR97,,,,,,,SVM,,,,,177620000.0,,100.0,,,
3,VGK,Vanguard FTSE Europe ETF,stocks,us,ARCX,ETF,1,usd,857489.0,BBG000HT8SM3,BBG001SHTV18,,,,,,,VGK,,,2005-03-10,,290640000.0,,100.0,,,
4,SPGI,S&P Global Inc.,stocks,us,XNYS,CS,1,usd,64040.0,BBG000BP1Q11,BBG001S5T5M8,,212-438-1000,"{'address1': '55 WATER STREET', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10041'}",,7320.0,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",SPGI,,,,,312900000.0,,100.0,,,
5,AGD,abrdn Global Dynamic Dividend Fund,stocks,us,XNYS,FUND,1,usd,1362481.0,BBG000DJLNL6,BBG001SMLZ16,242434530.0,,,"Aberdeen Global Dynamic Dividend Fund is a diversified, closed-end management investment company. Its primary investment objective is to seek high current dividend income. The Fund also focuses on the long-term growth of capital as a secondary investment objective.",,,AGD,https://www.aberdeenagd.com,,2006-07-26,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWJlcmRlZW5hZ2QuY29t/images/2024-06-01_logo.svg'},12550000.0,24865080.0,100.0,,,
6,SCHX,Schwab U.S. Large- Cap ETF,stocks,us,ARCX,ETF,1,usd,1454889.0,BBG000PS05G1,BBG001T5XQV6,,,,,,,SCHX,,,2009-11-03,,649000000.0,,100.0,,,
7,WHLR,"Wheeler Real Estate Investment Trust, Inc",stocks,us,XNAS,CS,1,usd,1527541.0,BBG019FDBKX1,BBG0025F8C10,,757-627-9088,"{'address1': 'RIVERSEDGE NORTH', 'address2': '2529 VIRGINIA BEACH BLVD., SUITE 200', 'city': 'VIRGINIA BEACH', 'state': 'VA', 'postal_code': '23452'}",,6798.0,REAL ESTATE INVESTMENT TRUSTS,WHLR,,,,,2830000.0,,100.0,,,
8,SFpB,"Stifel Financial Corp. Depositary Shares, Each Representing 1/1,000th Interest in a Share of 6.25% Non-Cumulative Preferred Stock, Series B",stocks,us,XNYS,PFD,1,usd,720672.0,,,,314-342-2000,"{'address1': 'ATTN: JAMES G. LASCHOBER', 'address2': '501 N. BROADWAY', 'city': 'ST. LOUIS', 'state': 'MO', 'postal_code': '63102-2102'}",,6211.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",SF,,,,,6400000.0,,100.0,,,
9,NTRS,Northern Trust Corp,stocks,us,XNAS,CS,1,usd,73124.0,BBG000BQ74K1,BBG001S5TRG7,,(312) 630-6000,"{'address1': '50 S LASALLE ST', 'city': 'CHICAGO', 'state': 'IL', 'postal_code': '60603'}",,6022.0,STATE COMMERCIAL BANKS,NTRS,,,,,204590000.0,,100.0,,,
10,COOP,Mr. Cooper Group Inc. Common Stock,stocks,us,XNAS,CS,1,usd,933136.0,BBG002V098F7,BBG002V09956,,(214) 687-4958,"{'address1': '8950 CYPRESS WATERS BLVD.', 'city': 'COPPELL', 'state': 'TX', 'postal_code': '75019'}",,6199.0,FINANCE SERVICES,COOP,,,,,64720000.0,,100.0,,,
